Origin_Code,Destination_Code,Flow
1,0,140.99
1,1,1109252.9300000002
1,2,3138.57
1,3,886.6899999999998
1,4,8207.540000000003
1,5,3558.21
1,6,974.5899999999997
1,7,1971.950000000001
1,8,17.080000000000002
1,9,73.46999999999998
1,10,152.57999999999996
1,11,12.51
1,12,217.35
1,13,167.67
1,14,40.47
1,15,3156.19
1,16,59.69
1,17,44.43
1,18,96.33
1,19,27.12
1,20,4.35
1,21,1.0
1,22,26.75
1,23,15.19
1,24,21.89
1,26,76.50999999999998
1,27,1.0
1,28,18.21
1,29,6.83
1,33,61.81
1,34,12.15
1,35,8.030000000000001
1,36,26.02
1,37,25.000000000000004
1,38,12.54
1,40,2.0
1,45,1.0
1,46,7.210000000000001
1,47,2.57
1,48,4.6
1,49,1.0
1,50,3.39
1,58,19.56
1,96,1075.53
1,97,23.180000000000003
1,98,33.62
1,100,3.03
1,103,49.8
1,108,107.69000000000004
2,0,12.99
2,1,4619.470000000001
2,2,68308.87999999998
2,3,4814.3600000000015
2,4,35.81
2,5,110.41
2,6,1807.87
2,7,41.34
2,9,8.05
2,10,22.69
2,11,1.0
2,12,131.29000000000002
2,13,25.51
2,14,2.0
2,15,1276.0700000000004
2,16,23.58
2,17,9.0
2,18,348.5100000000001
2,19,1.0
2,21,2.0
2,22,1.0
2,23,21.0
2,24,29.32
2,26,4.0
2,27,21.21
2,28,3.0
2,29,1.0
2,33,5.0
2,34,1.0
2,35,2.93
2,36,14.21
2,37,0.0
2,40,3.2
2,48,1.0
2,49,3.0
2,50,1.0
2,96,3285.84
2,97,1.0
2,98,10.39
2,103,60.4
2,108,38.63
3,0,94.0
3,1,745.7800000000002
3,2,4348.48
3,3,160327.01999999993
3,4,14.88
3,5,181.73
3,6,254.2
3,7,8.76
3,8,9.92
3,9,4.0
3,10,14.43
3,11,6.0
3,12,5996.9900000000025
3,13,174.04
3,14,1.0
3,15,12653.87
3,16,90.23
3,17,27.28
3,18,1266.35
3,19,8.92
3,20,5.0
3,21,3.0
3,22,12.0
3,23,17.13
3,24,38.02
3,25,2.6
3,26,3.0
3,27,9.0
3,28,14.0
3,29,4.0
3,33,15.02
3,34,7.0
3,35,2.0
3,36,150.86
3,37,2.0
3,39,2.0
3,40,2.0
3,46,1.0
3,48,1.0
3,50,6.76
3,52,2.0
3,58,7.23
3,96,488.73
3,97,34.03
3,98,36.82
3,99,6.0
3,100,3.0
3,103,2263.3
3,108,292.73
4,0,29.0
4,1,13003.599999999995
4,2,17.73
4,3,28.23
4,4,290033.0600000001
4,5,1929.39
4,6,195.38
4,7,9.0
4,8,123.75
4,9,864.51
4,10,114.96
4,11,4.0
4,12,5.0
4,13,10.0
4,14,6.26
4,15,113.23
4,16,3.0
4,17,4.68
4,18,12.34
4,19,17.46
4,20,2.0
4,22,4.0
4,23,4.0
4,24,2.0
4,28,1.0
4,33,4.0
4,34,3.0
4,36,3.0
4,37,3.82
4,40,1.0
4,46,8.0
4,50,1.0
4,52,8.0
4,96,12.63
4,97,1.0
4,98,4.0
4,103,3.0
4,108,6.0
5,0,6.99
5,1,9115.96
5,2,117.49
5,3,42.08
5,4,4614.5
5,5,88245.04000000002
5,6,3736.15
5,7,13.69
5,8,8.81
5,9,57.87
